Batchgroesse	Speicherverbrauch1	Speicherverbrauch2
10	5,1	3,17
20	8,25	5,75
30	11,32	8,31
40	14,43	10,87
50	17,64	13,44
60	20,71	16,01
70	23,92	18,84
80	27,02	21,15
90	30,24	24,11
100	33,18	26,29
110	36,32	28,85
120	39,39	31,42
130	42,62	34,01
140	45,8	37,17
150	48,69	39,12
160	51,9	41,76
170	55,09	44,26
180	58,61	47,22
190	61,22	49,55
200	64,42	51,98
210	67,85	55,12
220	70,7	57,10
230	73,7	59,73
240	77,31	62,32
250	80,17	65,65
256	81,79	66,45	
260	83,03	67,38
270	86,06	70,02
280	89,46	72,62
290	92,41	75,17
300	95,27	77,65
